Title,Company,Location,date_posted
Cold Calling Agent - Real Estate /  B2B,"Zolara Global Tech Private Limited,","Zolara Global Tech Private Limited,","May 22, 2025"
Business Development Intern,"MobitSolutions,","MobitSolutions,","May 21, 2025"
Digital Marketing Manager,"WorldBridge Global,","WorldBridge Global,","May 25, 2025"
Net Metering Officer,"Master Solar Energy,","Master Solar Energy,","May 25, 2025"
Sales Executive,"Luxe Home,","Luxe Home,","May 25, 2025"
Rider,"Al Barakat Plastics,","Al Barakat Plastics,","May 25, 2025"
3D Animator /  Product Designer,"Broad Wave Creations,","Broad Wave Creations,","May 25, 2025"
Order Booker,"Maestro Wrap,","Maestro Wrap,","May 25, 2025"
Vice Principal,"The Suffah School,","The Suffah School,","May 25, 2025"
Telesales Executive,"The FlexTel LLC,","The FlexTel LLC,","May 25, 2025"
Sales Executive – IT Services,"Max Tech Solutions,","Max Tech Solutions,","May 25, 2025"
Accountant,"Paragon City (Pvt.) Ltd,","Paragon City (Pvt.) Ltd,","May 25, 2025"
Admin Manager,"Future Designz,","Future Designz,","May 25, 2025"
HR  Intern,"AA Exchange Company (Pvt) Ltd.,","AA Exchange Company (Pvt) Ltd.,","May 25, 2025"
Customer Relationship Executive,"Premio Travel & Tours Pvt Ltd,","Premio Travel & Tours Pvt Ltd,","May 25, 2025"
Customer Relationship Officer,"Premio Travel & Tours Pvt Ltd,","Premio Travel & Tours Pvt Ltd,","May 25, 2025"
Relationship Manager,"Premio Travel & Tours Pvt Ltd,","Premio Travel & Tours Pvt Ltd,","May 25, 2025"
Operations Executive,"Premio Travel & Tours Pvt Ltd,","Premio Travel & Tours Pvt Ltd,","May 25, 2025"
Customer Care Representative,"Premio Travel & Tours Pvt Ltd,","Premio Travel & Tours Pvt Ltd,","May 25, 2025"
Customer Support Officer,"Premio Travel & Tours Pvt Ltd,","Premio Travel & Tours Pvt Ltd,","May 25, 2025"
Sales Team Lead,"Premio Travel & Tours Pvt Ltd,","Premio Travel & Tours Pvt Ltd,","May 25, 2025"
Export Documentation Officer,"ARM Group of Companies,","ARM Group of Companies,","May 25, 2025"
Interior / Exterior Designer - Freelance Project,Leads Group,Leads Group,Architectural Skills
WordPress Developer,Individual dev,Individual dev,PSD to WordPress
Senior Laravel Developer,Abiyan Ltd,Abiyan Ltd,Laravel Framework
AI Chatbot Integration Expert - WordPress,Vue Real Estate,Vue Real Estate,API
Chinese Translator,ALLVA TRADING LIMITED,ALLVA TRADING LIMITED,Communication Skills
Content Creator,Secure-Edge Safety Consultancy and Institute (SSCI),Secure-Edge Safety Consultancy and Institute (SSCI),Content Management
SEO Specialist,Abiyan Ltd,Abiyan Ltd,Link Building
